Country,Global category,Overview category,Sector,Subsector,Indicator ID,Value,Source,Indicator name
Costa Rica,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Costa Rica,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Costa Rica,Overview,UNFCCC Process,,,pa_ratified_date,13-Oct-16,CAIT,Date of ratification
Costa Rica,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Côte d'Ivoire,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Côte d'Ivoire,Overview,UNFCCC Process,,,submission_date,10/25/2016,CAIT,Latest submission date
Côte d'Ivoire,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Côte d'Ivoire,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Côte d'Ivoire,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Côte d'Ivoire,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Côte d'Ivoire,Overview,UNFCCC Process,,,pa_ratified_date,25-Oct-16,CAIT,Date of ratification
Côte d'Ivoire,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Croatia,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Croatia,Overview,UNFCCC Process,,,submission_date,5/24/2017,CAIT,Latest submission date
Croatia,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Croatia,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Croatia,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Croatia,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Croatia,Overview,UNFCCC Process,,,pa_ratified_date,24-May-17,CAIT,Date of ratification
Croatia,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Cuba,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Cuba,Overview,UNFCCC Process,,,submission_date,12/30/2016,CAIT,Latest submission date
Cuba,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Cuba,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Cuba,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Cuba,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Cuba,Overview,UNFCCC Process,,,pa_ratified_date,28-Dec-16,CAIT,Date of ratification
Cuba,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Cyprus,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Cyprus,Overview,UNFCCC Process,,,submission_date,1/4/2017,CAIT,Latest submission date
Cyprus,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Cyprus,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Cyprus,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Cyprus,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Cyprus,Overview,UNFCCC Process,,,pa_ratified_date,4-Jan-17,CAIT,Date of ratification
Cyprus,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Czech Republic,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Czech Republic,Overview,UNFCCC Process,,,submission_date,10/5/2017,CAIT,Latest submission date
Czech Republic,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Czech Republic,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Czech Republic,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Czech Republic,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Czech Republic,Overview,UNFCCC Process,,,pa_ratified_date,5-Oct-17,CAIT,Date of ratification
Czech Republic,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Democratic Republic of the Congo,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Democratic Republic of the Congo,Overview,UNFCCC Process,,,submission_date,12/13/2017,CAIT,Latest submission date
Democratic Republic of the Congo,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Democratic Republic of the Congo,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Democratic Republic of the Congo,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Democratic Republic of the Congo,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Democratic Republic of the Congo,Overview,UNFCCC Process,,,pa_ratified_date,13-Dec-17,CAIT,Date of ratification
Democratic Republic of the Congo,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Denmark,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Denmark,Overview,UNFCCC Process,,,submission_date,11/1/2016,CAIT,Latest submission date
Denmark,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Denmark,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Denmark,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Denmark,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Denmark,Overview,UNFCCC Process,,,pa_ratified_date,1-Nov-16,CAIT,Date of ratification
Denmark,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Djibouti,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Djibouti,Overview,UNFCCC Process,,,submission_date,11/11/2016,CAIT,Latest submission date
Djibouti,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Djibouti,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Djibouti,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Djibouti,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Djibouti,Overview,UNFCCC Process,,,pa_ratified_date,11-Nov-16,CAIT,Date of ratification
Djibouti,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Dominica,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Dominica,Overview,UNFCCC Process,,,submission_date,9/21/2016,CAIT,Latest submission date
Dominica,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Dominica,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Dominica,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Dominica,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Dominica,Overview,UNFCCC Process,,,pa_ratified_date,21-Sep-16,CAIT,Date of ratification
Dominica,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Dominican Republic,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Dominican Republic,Overview,UNFCCC Process,,,submission_date,9/21/2017,CAIT,Latest submission date
Dominican Republic,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Dominican Republic,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Dominican Republic,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Dominican Republic,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Dominican Republic,Overview,UNFCCC Process,,,pa_ratified_date,21-Sep-17,CAIT,Date of ratification
Dominican Republic,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Ecuador,Overview,UNFCCC Process,,,revised,Yes,CAIT,Revised from previous submission
Ecuador,Overview,UNFCCC Process,,,submission_date,3/29/2019,CAIT,Latest submission date
Ecuador,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Ecuador,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Ecuador,Overview,UNFCCC Process,,,pa_sign_date,7/26/2016,CAIT,Date of signature
Ecuador,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Ecuador,Overview,UNFCCC Process,,,pa_ratified_date,9/20/2017,CAIT,Date of ratification
Ecuador,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Egypt,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Egypt,Overview,UNFCCC Process,,,submission_date,6/29/2017,CAIT,Latest submission date
Egypt,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Egypt,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Egypt,Overview,UNFCCC Process,,,pa_sign_date,4/22/2016,CAIT,Date of signature
Egypt,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Egypt,Overview,UNFCCC Process,,,pa_ratified_date,6/29/2017,CAIT,Date of ratification
Egypt,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
El Salvador,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
El Salvador,Overview,UNFCCC Process,,,submission_date,3/27/2017,CAIT,Latest submission date
El Salvador,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
El Salvador,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
El Salvador,Overview,UNFCCC Process,,,pa_sign_date,4/22/2016,CAIT,Date of signature
El Salvador,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
El Salvador,Overview,UNFCCC Process,,,pa_ratified_date,3/27/2017,CAIT,Date of ratification
El Salvador,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Equatorial Guinea,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Equatorial Guinea,Overview,UNFCCC Process,,,submission_date,10/30/2018,CAIT,Latest submission date
Equatorial Guinea,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Equatorial Guinea,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Equatorial Guinea,Overview,UNFCCC Process,,,pa_sign_date,4/22/2016,CAIT,Date of signature
Equatorial Guinea,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Equatorial Guinea,Overview,UNFCCC Process,,,pa_ratified_date,10/30/2018,CAIT,Date of ratification
Equatorial Guinea,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Eritrea,Overview,UNFCCC Process,,,revised,Yes,CAIT,Revised from previous submission
Eritrea,Overview,UNFCCC Process,,,submission_date,6/19/2018,CAIT,Latest submission date
Eritrea,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Eritrea,Overview,UNFCCC Process,,,pa_status,Signed Agreement,CAIT,Status of ratification
Eritrea,Overview,UNFCCC Process,,,pa_sign_date,4/22/2016,CAIT,Date of signature
Eritrea,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Eritrea,Overview,UNFCCC Process,,,pa_ratified,No,CAIT,Ratified
Estonia,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Estonia,Overview,UNFCCC Process,,,submission_date,11/4/2016,CAIT,Latest submission date
Estonia,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Estonia,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Estonia,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Estonia,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Estonia,Overview,UNFCCC Process,,,pa_ratified_date,4-Nov-16,CAIT,Date of ratification
Estonia,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Eswatini,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Eswatini,Overview,UNFCCC Process,,,submission_date,9/21/2016,CAIT,Latest submission date
Eswatini,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Eswatini,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Eswatini,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Eswatini,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Eswatini,Overview,UNFCCC Process,,,pa_ratified_date,21-Sep-16,CAIT,Date of ratification
Eswatini,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Ethiopia,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Ethiopia,Overview,UNFCCC Process,,,submission_date,3/9/2017,CAIT,Latest submission date
Ethiopia,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Ethiopia,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Ethiopia,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Ethiopia,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Ethiopia,Overview,UNFCCC Process,,,pa_ratified_date,9-Mar-17,CAIT,Date of ratification
Ethiopia,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
European Union (27),Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
European Union (27),Overview,UNFCCC Process,,,submission_date,10/5/2016,CAIT,Latest submission date
European Union (27),Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
European Union (27),Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
European Union (27),Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
European Union (27),Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
European Union (27),Overview,UNFCCC Process,,,pa_ratified_date,5-Oct-16,CAIT,Date of ratification
European Union (27),Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Fiji,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Fiji,Overview,UNFCCC Process,,,submission_date,4/22/2016,CAIT,Latest submission date
Fiji,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Fiji,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Fiji,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Fiji,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Fiji,Overview,UNFCCC Process,,,pa_ratified_date,22-Apr-16,CAIT,Date of ratification
Fiji,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Finland,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Finland,Overview,UNFCCC Process,,,submission_date,11/14/2016,CAIT,Latest submission date
Finland,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Finland,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Finland,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Finland,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Finland,Overview,UNFCCC Process,,,pa_ratified_date,14-Nov-16,CAIT,Date of ratification
Finland,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
France,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
France,Overview,UNFCCC Process,,,submission_date,10/5/2016,CAIT,Latest submission date
France,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
France,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
France,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
France,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
France,Overview,UNFCCC Process,,,pa_ratified_date,5-Oct-16,CAIT,Date of ratification
France,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Gabon,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Gabon,Overview,UNFCCC Process,,,submission_date,11/2/2016,CAIT,Latest submission date
Gabon,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Gabon,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Gabon,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Gabon,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Gabon,Overview,UNFCCC Process,,,pa_ratified_date,2-Nov-16,CAIT,Date of ratification
Gabon,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Gambia,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Gambia,Overview,UNFCCC Process,,,submission_date,11/7/2016,CAIT,Latest submission date
Gambia,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Gambia,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Gambia,Overview,UNFCCC Process,,,pa_sign_date,26-Apr-16,CAIT,Date of signature
Gambia,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Gambia,Overview,UNFCCC Process,,,pa_ratified_date,7-Nov-16,CAIT,Date of ratification
Gambia,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Georgia,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Georgia,Overview,UNFCCC Process,,,submission_date,5/8/2017,CAIT,Latest submission date
Georgia,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Georgia,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Georgia,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Georgia,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Georgia,Overview,UNFCCC Process,,,pa_ratified_date,9-May-17,CAIT,Date of ratification
Georgia,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Germany,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Germany,Overview,UNFCCC Process,,,submission_date,10/5/2016,CAIT,Latest submission date
Germany,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Germany,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Germany,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Germany,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Germany,Overview,UNFCCC Process,,,pa_ratified_date,5-Oct-16,CAIT,Date of ratification
Germany,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Ghana,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Ghana,Overview,UNFCCC Process,,,submission_date,9/21/2016,CAIT,Latest submission date
Ghana,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Ghana,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Ghana,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Ghana,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Ghana,Overview,UNFCCC Process,,,pa_ratified_date,21-Sep-16,CAIT,Date of ratification
Ghana,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Greece,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Greece,Overview,UNFCCC Process,,,submission_date,10/14/2016,CAIT,Latest submission date
Greece,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Greece,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Greece,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Greece,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Greece,Overview,UNFCCC Process,,,pa_ratified_date,14-Oct-16,CAIT,Date of ratification
Greece,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Grenada,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Grenada,Overview,UNFCCC Process,,,submission_date,4/22/2016,CAIT,Latest submission date
Grenada,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Grenada,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Grenada,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Grenada,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Grenada,Overview,UNFCCC Process,,,pa_ratified_date,22-Apr-16,CAIT,Date of ratification
Grenada,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Guatemala,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Guatemala,Overview,UNFCCC Process,,,submission_date,1/25/2017,CAIT,Latest submission date
Guatemala,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Guatemala,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Guatemala,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Guatemala,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Guatemala,Overview,UNFCCC Process,,,pa_ratified_date,25-Jan-17,CAIT,Date of ratification
Guatemala,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Guinea,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Guinea,Overview,UNFCCC Process,,,submission_date,9/21/2016,CAIT,Latest submission date
Guinea,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Guinea,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Guinea,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Guinea,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Guinea,Overview,UNFCCC Process,,,pa_ratified_date,21-Sep-16,CAIT,Date of ratification
Guinea,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Guinea-Bissau,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Guinea-Bissau,Overview,UNFCCC Process,,,submission_date,10/22/2018,CAIT,Latest submission date
Guinea-Bissau,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Guinea-Bissau,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Guinea-Bissau,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Guinea-Bissau,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Guinea-Bissau,Overview,UNFCCC Process,,,pa_ratified_date,22-Oct-18,CAIT,Date of ratification
Guinea-Bissau,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Guyana,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Guyana,Overview,UNFCCC Process,,,submission_date,5/20/2016,CAIT,Latest submission date
Guyana,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Guyana,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Guyana,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Guyana,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Guyana,Overview,UNFCCC Process,,,pa_ratified_date,20-May-16,CAIT,Date of ratification
Guyana,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Haiti,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Haiti,Overview,UNFCCC Process,,,submission_date,7/31/2017,CAIT,Latest submission date
Haiti,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Haiti,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Haiti,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Haiti,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Haiti,Overview,UNFCCC Process,,,pa_ratified_date,31-Jul-17,CAIT,Date of ratification
Haiti,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Honduras,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Honduras,Overview,UNFCCC Process,,,submission_date,9/21/2016,CAIT,Latest submission date
Honduras,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Honduras,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Honduras,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Honduras,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Honduras,Overview,UNFCCC Process,,,pa_ratified_date,21-Sep-16,CAIT,Date of ratification
Honduras,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Hungary,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Hungary,Overview,UNFCCC Process,,,submission_date,10/5/2016,CAIT,Latest submission date
Hungary,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Hungary,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Hungary,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Hungary,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Hungary,Overview,UNFCCC Process,,,pa_ratified_date,5-Oct-16,CAIT,Date of ratification
Hungary,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Iceland,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Iceland,Overview,UNFCCC Process,,,submission_date,9/21/2016,CAIT,Latest submission date
Iceland,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Iceland,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Iceland,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Iceland,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Iceland,Overview,UNFCCC Process,,,pa_ratified_date,21-Sep-16,CAIT,Date of ratification
Iceland,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
India,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
India,Overview,UNFCCC Process,,,submission_date,10/2/2016,CAIT,Latest submission date
India,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
India,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
India,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
India,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
India,Overview,UNFCCC Process,,,pa_ratified_date,2-Oct-16,CAIT,Date of ratification
India,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Indonesia,Overview,UNFCCC Process,,,revised,Yes,CAIT,Revised from previous submission
Indonesia,Overview,UNFCCC Process,,,submission_date,11/6/2016,CAIT,Latest submission date
Indonesia,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Indonesia,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Indonesia,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Indonesia,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Indonesia,Overview,UNFCCC Process,,,pa_ratified_date,31-Oct-16,CAIT,Date of ratification
Indonesia,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Iran,Overview,UNFCCC Process,,,revised,No NDC submited yet,CAIT,Revised from previous submission
