Type;Description;Is GHG Target?;Year;Base Year Period;Is Single Year Target?;Source;Geography;Geography ISO;Sector;Scopes;Events
trajectory_target;Installed capacity of conventional hydropower will strive to reach 350 million kilowatts, and the annual power generation capacity will be 1.2 trillion kilowatt-hours by 2020;No;2020;2014;No;law;China;CHN;Energy;Renewable Energy;
trajectory_target;Increase forest coverage by 21.6% by 2015 against a 2011 baseline;No;2015;2011;No;law;China;CHN;LULUCF;Afforestation;
fixed_level_target;Forest growth - 21.66% to 23.04% of coverage and growing stock of 15.1 to 16.5 billions meters cube by 2020;No;2020;2015;No;law;China;CHN;LULUCF;Afforestation;
fixed_level_target;Stable arable land at 124.3 m hectares by 2020;No;2020;2015;No;law;China;CHN;LULUCF;Land Use Change;
trajectory_target;Ensure that the grassland vegetation coverage reaches 56%  by 2020;No;2020;2015;No;law;China;CHN;LULUCF;Land Use Change;
trajectory_target;Lower the area of land used for construction per unit of GDP by 20% by 2020 against a 2015 baseline;No;2020;2015;No;law;China;CHN;LULUCF;Preservation;
trajectory_target;Increase the proportion of forest area and stock volume by 40 million ha and 1.3 billion m3 respectively from a 2005 baseline by 2020 against a 2005 baseline;No;2020;2005;No;law;China;CHN;LULUCF;Afforestation;
trajectory_target;Effective protection rate of natural wetlands will reach more than 60%, and the area of desertified land will be over 50% of the controllable area. More than 95% of the state's key protected wild animals and over 90% of the minimum wild plant species will be effectively protected against desertification by 2020.;No;2020;2013;No;law;China;CHN;LULUCF;Preservation;
trajectory_target;By 2020, the rate of ��three-step� grasslands will reach 55.6% by 2020;No;2020;2013;No;law;China;CHN;LULUCF;Preservation;
trajectory_target;By 2020, the forest coverage rate will reach 23% and the forest reserves will exceed 15 billion cubic meters by 2020;No;2020;2013;No;law;China;CHN;LULUCF;Preservation;
intensity_target;Decrease the energy intensity of GDP by 16% by 2015 against a 2011 baseline;No;2015;2011;No;law;China;CHN;Energy;Energy Intensity;
trajectory_target;Reduce energy consumption per unit of GDP by 15% from 2015 levels by 2020 against a 2015 baseline;No;2020;2015;No;law;China;CHN;Energy;Energy Intensity;
fixed_level_target;1000 low-carbon commercial pilot by 2020: selected commercial establishments such as representative stores, hotels, restaurants, and tourist attractions to carry out pilot projects, and strengthen the operation and supply chain management through the enhancement of new technologies such as energy-saving and renewable energy, and significantly reduce CO2 emissions from pilot commercial organizations.;No;2020;2014;No;law;China;CHN;Tourism;Renewable Energy;
fixed_level_target;Low-carbon park pilots: 150 or so low-carbon industrial demonstration parks will be built by 2020;No;2020;2014;No;law;China;CHN;Industry;Energy Intensity;
fixed_level_target;By 2015, the level of carbon dioxide emissions from large-scale power generation enterprise groups will be controlled at 650 g/kWh;No;2015;2014;No;law;China;CHN;Industry;Energy Intensity;
trajectory_target;The value-added CO2 emissions per unit of industry will fall by about 50% by 2020 against a 2005 baseline;No;2020;2005;No;law;China;CHN;Industry;Energy Intensity;
fixed_level_target;By 2020, the total primary energy consumption will be controlled at around 4.8 billion tons of standard coal.;No;2020;2014;No;law;China;CHN;Energy;Energy Intensity;
fixed_level_target;For group access standards, coal consumption for newly-built coal-fired power generation units is lower than 300 grams per kilowatt-hour of standard coal, and pollutant emissions are close to those of gas-fired gas turbines by 2014;No;2014;2014;No;law;China;CHN;Energy;Fuels;
base_year_target;It is hoped that by 2020, the percentage of green buildings in new towns will reach 50% by 2020 against a 2014 baseline;No;2020;2014;No;law;China;CHN;Buildings;Energy Efficiency;
fixed_level_target;Total energy consumption capped at 5 billion metric tons of standard coal equivalent by 2020;No;2020;2015;No;law;China;CHN;Energy;Fuels;
fixed_level_target;By 2020, shale gas production will strive to exceed 30 billion cubic meters by 2020 against a 2014 baseline;No;2020;2014;No;law;China;CHN;Energy;Fuels;
fixed_level_target;By 2020, it will cumulatively increase the verified geological reserves of conventional gas by 5.5 trillion cubic meters, and produce 178 billion cubic meters of conventional natural gas per year by 2020 against a 2014 baseline;No;2020;2014;No;law;China;CHN;Energy;Fuels;
fixed_level_target;By 2020,  the proportion of coal consumption will be controlled within 62% by 2020 against a 2014 baseline;No;2020;2014;No;law;China;CHN;Energy;Fuels;
trajectory_target;By 2020, natural gas will account for more than 10% by 2020 against a 2014 baseline;No;2020;2014;No;law;China;CHN;Energy;Fuels;
fixed_level_target;By 2020, the total primary energy consumption will be controlled at about 4.8 billion tons of standard coal, and the total coal consumption will be controlled at about 4.2 billion tons by 2020 against a 2014 baseline;No;2020;2014;No;law;China;CHN;Energy;Fuels;
fixed_level_target;Safe and efficient development of nuclear power. On the basis of ensuring safety, the company will effectively develop nuclear power, upgrade the safety level of nuclear power plants, and steadily advance nuclear power construction. The total installed capacity in 2020 reached 58 million kilowatts. by 2020 against a 2014 baseline;No;2020;2014;No;law;China;CHN;Energy;Nuclear;
fixed_level_target;The proportion of natural gas consumption in primary energy consumption will exceed 10%, and the utilization volume will reach 3.6 trillion cubic meters by 2020 against a 2014 baseline;No;2020;2014;No;law;China;CHN;Energy;Fuels;
fixed_level_target;Increase the percentage of non-fossil fuels in primary energy consumption to 15%  by 2020 against a 2014 baseline;No;2020;2014;No;law;China;CHN;Energy;Renewable Energy;
intensity_target;Decrease the carbon intensity of GDP by 17% by 2015  against a 2011 baseline;No;2015;2011;No;law;China;CHN;Economy-wide;Economy Wide;
intensity_target;Reduce CO2 emissions per unit of GDP by 18% by 2020 against a 2015 baseline;No;2020;2015;No;law;China;CHN;Economy-wide;Economy Wide;
base_year_target;Cut carbon emissions per unit of GDP by 40-45% from 2005 levels by 2020;No;2020;2005;No;law;China;CHN;Economy-wide;Economy Wide;
fixed_level_target;Ensure that the natural shoreline does not fall below 35%  by 2020 against a 2015 baseline;No;2020;2015;No;law;China;CHN;Coastal zones;Adaptation;
fixed_level_target;Policy: Strengthen the training of farmers to adapt to technology, and by 2020, the penetration rate of practical adaptive technical training for rural labor will reach 70% by 2020 against a 2013 baseline;No;2020;2013;No;law;China;CHN;Agriculture;Adaptation;
intensity_target_and_trajectory_target;Achieve the peaking of CO2 emissions around 2030 and making best efforts to peak early;;;;;;;;;;
;Increase the forested area by 40 million hectares and the forest stock volume by 1.3 billion cubic meters compared to the 2005 levels.;No;;;No;ndc;China;CHN;LULUCF;Sustainable Forest Management;
;50% share of green buildings in newly built buildings of cities and towns by 2020;No;2020;;No;ndc;China;CHN;Buildings;Buildings;
;35% HCFC-22 reduction (compared to 2010 level) by 2020 | 67.5% HCFC-22 reduction (compared to 2010 level) by 2025 | Achieve effective control on emissions of HFC-23 by 2020;No;2025;;No;ndc;China;CHN;Industry;HFCs;
;Zero growth of fertilizer and pesticide utilization by 2020;No;2020;;No;ndc;China;CHN;Agriculture;Agriculture: General;
;30% public transport in cities by 2020;No;2020;;No;ndc;China;CHN;Transportation;Public Transport;
;Additional 4.5 billion cubic meter forest stock volume compared to 2005 level;No;;;No;ndc;China;CHN;LULUCF;LULUCF/Forestry: General;
;10% natural gas consumption in the primary energy consumption by 2020;;;;;;;;;;
;100 GW solar by 2020;No;2020;;No;ndc;China;CHN;Energy;Renewable Energy: Solar;
;200 GW wind by 2020;No;2020;;No;ndc;China;CHN;Energy;Renewable Energy: Wind;
;20% non-fossil fuels in primary energy consumption by 2030;No;2030;;No;ndc;China;CHN;Energy;Energy: General;
base_year_target;Reduction of 11.2 MTCO2 Eq in the energy mining sector by 2030 against a 2010 baseline;No;2030;2010;No;law;Colombia;COL;Energy;Energy Intensity;
base_year_target;5.45% improvement in energy efficiency by 2022 against a 2017 baseline;No;2022;2017;No;law;Colombia;COL;Transportation;Energy Efficiency;
base_year_target;Overall 9.05%, or 699,678 TJ  improvement in energy efficiency by 2022 against a 2017 baseline;No;2022;2017;No;law;Colombia;COL;Energy;Energy Efficiency;
base_year_target;0.73%  improvement in energy efficiency by 2022 against a 2017 baseline;No;2022;2017;No;law;Colombia;COL;Energy;Energy Efficiency;
base_year_target;1.13%  improvement in energy efficiency by 2022 against a 2017 baseline;No;2022;2017;No;law;Colombia;COL;Energy;Energy Efficiency;
base_year_target;1.71%  improvement in energy efficiency by 2022 against a 2017 baseline;No;2022;2017;No;law;Colombia;COL;Energy;Energy Efficiency;
baseline_scenario_target;20% (unconditional) to 30% (conditional) reduction in GHG emissions by 2030 compared to the BAU scenario;No;2025;business as usual scenario;No;ndc;Colombia;COL;Economy-wide;Economy Wide;
fixed_level_target;Increase the territory's share covered by forests by 6% by 2019 against a 2015 baseline;No;2019;2015;No;law;Comoros;COM;LULUCF;Afforestation;
baseline_scenario_target;84% reduction in GHG emissions by 2030 compared to the reference scenario, including sinks from the Land Use, Land-Use Change, and Forestry (LULUCF) sector.;No;2030;N/A;No;ndc;Comoros;COM;Economy-wide;Economy Wide;
;1.   66 % of the population with access to drinking water by 2020;;;;;;;;;;
;By 2020:The country has a early warning system and effective intervention able to intervene on the whole territoryBy 2030:The country has an early warning system and effective interventions can be made throughout the territory in case the emergence of;No;2030;;No;ndc;Comoros;COM;Disaster Risk Management (Drm);Early Warning System;
;By 2030, 100 % of the population in vulnerable areas  is relocated or benefit from protecting from the risk of climate change in particular sea level rise and floods;;;;;;;;;;
;-�-�11,116 ha forest cover by 2019, increase 200 ha anually;No;;;No;ndc;Comoros;COM;LULUCF;Afforestation;
;5500 tCO2eq by 2030 | 5000 tCO2eq by 2025 | 4400 tCO2eq by 2020;No;2030;;No;ndc;Comoros;COM;Waste;Waste: General;
;Maximum potential of hydro power generation by 2030;No;2030;;No;ndc;Comoros;COM;Energy;Renewable Energy: Hydro;
;14 MW geothermal by 2030;No;2030;;No;ndc;Comoros;COM;Energy;Renewable Energy: Geothermal;
;14 MW solar energy by 2020;No;2020;;No;ndc;Comoros;COM;Energy;Renewable Energy: Solar;
;383000 tCO2eq by 2030 | 267000  tCO2eq by 2025 | 143800 tCO2eq by 2020;No;2030;;No;ndc;Comoros;COM;LULUCF;LULUCF/Forestry: General;
;Rehabilitation of power plants: A decrease of 6% in losses is possible;No;;;No;ndc;Comoros;COM;Energy;Supply-Side Efficiency: Power Generation Efficiency Improvement: Rehabilitation;
;By 2020, the NAP process is completed by 2020;;;;;;;;;;
baseline_scenario_target;Abouth 48% (or 8 MtCO2e) reduction in 2025 and 54% (or 19 MtCO2e) reduction in 2035 in GHG emission compared to the baselinescenario;No;2035;N/A;No;ndc;Congo;COG;Economy-wide;Economy Wide;
;75% increase access to energy for urban households to by 2025 and 100% by 2035 | 50% increase in rural households to by 2025 and 75% by 2035;No;2035;;No;ndc;Congo;COG;Energy;Energy: General;
;85% increase production by 2025;No;2025;;No;ndc;Congo;COG;Energy;Renewable Energy: Hydro;
;-20% in non-planned deforestation by 2035;No;2035;;No;ndc;Congo;COG;LULUCF;LULUCF/Forestry: General;
;90% increase production by 2025 and 95% by 2035;No;2035;;No;ndc;Congo;COG;Energy;Renewable Energy;
base_year_target;38% reduction by 2020 and 81% reduction by 2030 in GHG emission from electricity generation compared to 2006;No;2030;2006;No;ndc;Cook Islands;COK;Economy-wide;Economy Wide;
;100% renewable electricity by 2020;No;2020;;No;ndc;Cook Islands;COK;Energy;Renewable Energy;
;-81% emission below 2006 levels in electricity generation;No;;;No;ndc;Cook Islands;COK;Energy;Energy: General;
base_year_target;100% electricity from renewables by 2021;No;2021;2021;No;law;Costa Rica;CRI;Energy;Renewable Energy;
fixed_level_target;100% share of renewable sources in electricity generation by 2021;No;2021;2021;No;law;Costa Rica;CRI;Energy;Renewable Energy;
fixed_level_target;Carbon neutrality by 2021;No;2021;2021;No;law;Costa Rica;CRI;Economy-wide;Economy Wide;
fixed_level_target;Carbon neutrality by 2021;No;2021;2021;No;law;Costa Rica;CRI;Economy-wide;Economy Wide;
fixed_level_target;A maximum of 9,374,000 tCO2eq net emissions by 2030;No;2030;N/A;No;ndc;Costa Rica;CRI;Economy-wide;Economy Wide;
;By 2030, increase the sewer and storm drain coverage, maintenance and sustainability up to a 90%;;;;;;;;;;
;100% renewable in energy mix by 2030;No;2030;;No;ndc;Costa Rica;CRI;Energy;Renewable Energy;
fixed_level_target;<div>In 2035, 30% of the public transport fleet will be zero emissions and the Passenger Electric Train will operate 100% electric.</div>;Yes;2035;2018;Yes;plan;Costa Rica;CRI;Transportation;Transport: General, Public Transport;25/12/2018|Target set||
fixed_level_target;<div>In 2050, 85% of the public transport fleet will be zero emissions.</div>;Yes;2050;2018;Yes;plan;Costa Rica;CRI;Transportation;Public Transport;25/12/2018|target set||
fixed_level_target;<div>By 2050, Compact Cities will have been consolidated in the main urban areas of the GAM and the main secondary cities in the country, with a 10% increase in trips in non-motorized modes.</div>;No;2050;2018;Yes;plan;Costa Rica;CRI;Transportation;Transport: General;25/12/2018|target set||
fixed_level_target;<div>In 2035, 30% of the light vehicle fleet - private and institutional - will be electric.</div>;No;2035;2018;Yes;plan;Costa Rica;CRI;Transportation;Transport: General;25/12/2018|target set||
fixed_level_target;<div>In 2050, 95% of the fleet - will be zero emissions.</div>;Yes;2050;2018;Yes;plan;Costa Rica;CRI;Transportation;Transport: General;25/12/2018|target set||
fixed_level_target;<div>By 2030, 20% of the train fleet operates with LPG.</div>;No;2030;2018;Yes;plan;Costa Rica;CRI;Transportation;Transportation Fuels;25/12/2018|target set||
fixed_level_target;<div>By 2050, freight transport will be highly efficient and will have reduced emissions by 20% compared to 2018 emissions.</div>;Yes;2050;2018;Yes;plan;Costa Rica;CRI;Transportation;Transport: General, Transportation Planning;25/12/2018|target set||
fixed_level_target;<div>By 2030 the electrical matrix manages to operate 100% with renewable energy.</div>;No;2030;2018;Yes;plan;Costa Rica;CRI;Energy;Renewable Energy;25/12/2018|target set||
baseline_scenario_target;<div>By 2025, place a 10% increase in the use of wood, bamboo and other local materials in buildings.</div>;No;2025;2018;Yes;plan;Costa Rica;CRI;Buildings;Buildings;25/12/2018|target set||
fixed_level_target;<div>By 2030, 100% of new buildings are designed and built adopting systems and technologies for low emissions and resilience under bioclimatic parameters.</div>;No;2030;2018;Yes;plan;Costa Rica;CRI;Buildings;Buildings;25/12/2018|target set||
fixed_level_target;<div>By 2050, 50% buildings, commercial, residential and institutional will operate with low emission standards (high electrification or use of renewable energy in cooking processes and water heating).</div>;No;2050;2018;Yes;plan;Costa Rica;CRI;Buildings;Demand-Side Efficiency: Buildings;
fixed_level_target;<div>By 2030, 70% of the livestock herd and 60% of the area dedicated to livestock implement low-carbon technologies.</div>;No;2030;2018;Yes;plan;Costa Rica;CRI;Agriculture;Agriculture: General, Climate Smart Agriculture;25/12/2018|target set||
baseline_scenario_target;<div>By 2030, maintain forest cover and increase to 60% while ensuring at the same time this type of coverage does not compete with the agricultural sector.</div>;No;2030;2018;Yes;plan;Costa Rica;CRI;LULUCF;LULUCF/Forestry: General, Agroforestry;25/12/2018|target set||
fixed_level_target;<div>By 2050, 4,500 hectares of green areas function as recreational parks in the GAM, and a system of environmental-pedestrian networks that serves as biological corridors and pedestrian corridors is consolidated.</div>;No;2050;2018;Yes;plan;Costa Rica;CRI;LULUCF;LULUCF;25/12/2018|target set||
trajectory_target;2% biofuel in transport liquid fuel mix by 2005, then 5.75% by 2010;No;2010;2005, 2010;No;law;Croatia;HRV;Transportation;Biofuels;
base_year_target;10% transport energy from renewables by 2020;No;2020;2020;No;law;Croatia;HRV;Transportation;Renewable Energy;
fixed_level_target;12% avg. energy from renewables, 21% electricity from renewables;No;0;N/A;No;law;Croatia;HRV;Energy;Renewable Energy;
base_year_target;80% energy from renewables by 2050;No;2050;2050;No;law;Croatia;HRV;Energy;Renewable Energy;
trajectory_target;15PJ energy from biomass by 2010, then 26PJ by 2020;No;2020;2010, 2020;No;law;Croatia;HRV;Energy;Renewable Energy;
base_year_target;20% heating and cooling from renewables by 2020;No;2020;2020;No;law;Croatia;HRV;Energy;Renewable Energy;
base_year_target;35% electricity from renewable sources by 2020;No;2020;2020;No;law;Croatia;HRV;Energy;Renewable Energy;
base_year_target;20% renewable energy sources by 2020;No;2020;2020;No;law;Croatia;HRV;Energy;Renewable Energy;
fixed_level_target;13.65 primary electricity from renewable sources by 2020;No;2020;2020;No;law;Croatia;HRV;Energy;Renewable Energy;
base_year_target;35% cut in biodegradable landfill waste by 2020 against a 1997 baseline;No;2020;1997;No;law;Croatia;HRV;Waste;Waste Reduction;
base_year_target;10% cut in GHG emissions from liquid petroleum fuels by 2012 against a 2010 baseline;No;2012;2010;No;law;Croatia;HRV;Energy;Biofuels;
base_year_target;19.77 PJ energy saved (6.7 household, 3.64 services, 3.4 industry, 6.03 transport) by 2016 compared with a avg. (2001-2005) scenario;No;2016;avg. (2001-2005);No;law;Croatia;HRV;Energy;Energy Efficiency;
intensity_target;1-2% annual decrease in energy intensity per unit GDP (to meet 7% energy demand in 2015) by 2015;No;2015;N/A;No;law;Croatia;HRV;Energy;Energy Intensity;
base_year_target;11.15 primary energy consumption TOE, 7% final energy consumption TOE by 2020;No;2020;2020;No;law;Croatia;HRV;Energy;Energy Efficiency;
base_year_target;1.938 PJ energy saved annually by 2020 against a 2014 baseline;No;2020;2014;No;law;Croatia;HRV;Energy;Energy Efficiency;
base_year_target;22.76PJ energy saved by 2020 compared with a avg. (2001-2005) scenario;No;2020;avg. (2001-2005);No;law;Croatia;HRV;Energy;Energy Efficiency;
base_year_target;20% cut in direct energy consumption by 2012;No;2012;N/A;No;law;Croatia;HRV;Energy;Energy Efficiency;
base_year_target;9% cut in indirect energy consumption compared to average by 2006 compared with a avg. (2001-2005) scenario;No;2006;avg. (2001-2005);No;law;Croatia;HRV;Energy;Energy Efficiency;
base_year_target;10% cut direct energy consumption compared to average by 2020 compared with a avg. (2001-2005) scenario;No;2020;avg. (2001-2005);No;law;Croatia;HRV;Energy;Energy Efficiency;
base_year_target;80-95% cut in GHG emissions  by 2050 compared with a 1990 baseline;No;2050;1990;No;law;Croatia;HRV;Economy-wide;Economy Wide;
base_year_target;20% cut in emissions from ETS sectors, 11% cut from non-ETS sectors by 2020 compared with a 2005 baseline;No;2020;2005;No;law;Croatia;HRV;Economy-wide;Economy Wide;
fixed_level_target;31% cut in N2O emissions to 87kt and 34% cut in VOC emissions to 90kt by 2020 against a 2005 baseline;No;2020;2005;No;law;Croatia;HRV;Economy-wide;Economy Wide;
base_year_target;The European Union and its 28 Member States submitted a joint NDC: at least 40% domestic reduction in GHG emissions by 2030 compared to 1990;No;2030;1990;No;ndc;Croatia;HRV;Economy-wide;Economy Wide;
base_year_target;Increase renewable energy consumption by at least 20% by 2020 compared with a 1990 baseline;No;2020;1990;No;law;Croatia;HRV;Energy;Renewable Energy;
fixed_level_target;Reach 29.4% of forest cover in Cuba by 2015;No;2015;N/A;No;law;Cuba;CUB;LULUCF;Afforestation;
not_applicable;Not Applicable;No;0;N/A;No;ndc;Cuba;CUB;Economy-wide;Economy Wide;
;Replacement of 2 million electric cookers induction cookers resistance;No;;;No;ndc;Cuba;CUB;Energy;Clean Cooking And Heating;
;755 MW (sugarcane and forestry biomass);;;;;;;;;;
;633 MW (13 wind farms);No;;;No;ndc;Cuba;CUB;Energy;Renewable Energy: Wind;
;700 MW | distribution of 13 million LED lamps in the residential sector and 250,000 lamps for street lighting;No;;;No;ndc;Cuba;CUB;Energy;Renewable Energy: Solar;
base_year_target;10% renewables of final transport energy consumption by 2020;No;2020;2020;No;law;Cyprus;CYP;Transportation;Renewable Energy;
base_year_target;6% energy from renewables  by 2010 against a 2007 baseline;No;2010;2007;No;law;Cyprus;CYP;Energy;Renewable Energy;
base_year_target;13% renewables of final energy consumption by 2020;No;2020;2020;No;law;Cyprus;CYP;Energy;Renewable Energy;
base_year_target;1% annual energy consumption saving by N/A against a 2007 baseline;No;0;2007;No;law;Cyprus;CYP;Energy;Energy Efficiency;
base_year_target;The European Union and its 28 Member States submitted a joint NDC: at least 40% domestic reduction in GHG emissions by 2030 compared to 1990;No;2030;1990;No;ndc;Cyprus;CYP;Economy-wide;Economy Wide;
trajectory_target;2% reduction of GHG emissions per unit of energy in fuel by 2014, then 3.5% by 2017, then 6% by 2020 compared with a business as usual scenario;No;2020;Business as usual scenario;No;law;Czech Republic;CZE;Transportation;General;
base_year_target;20% transport energy from renewables by 2020;No;2020;2020;No;law;Czech Republic;CZE;Transportation;Renewable Energy;
base_year_target;4.1% of total blended petrol from biofuels, 6.0% of total diesel by 2013;No;2013;2013;No;law;Czech Republic;CZE;Energy;Biofuels;
base_year_target;13% final energy consumption from renewable by 2020;No;2020;2020;No;law;Czech Republic;CZE;Energy;Renewable Energy;
base_year_target;35% cut in biodegradable landfill waste by 2020 against a 1995 baseline;No;2020;1995;No;law;Czech Republic;CZE;Waste;Waste Reduction;
base_year_target;47.94 PJ final energy savings (6.85 PJ new savings per year) by 2020 against a 2013 baseline;No;2020;2013;No;law;Czech Republic;CZE;Energy;Energy Efficiency;
base_year_target;Pursue the indicative level of 70 Mt CO2-eq of emissions in 2040 against 2005 levels;No;2040;2005;No;law;Czech Republic;CZE;Economy-wide;Economy Wide;
fixed_level_target;70���MtCO2e total emissions by 2040, then 39 MtCO2e by 2050;No;2050;2040, 2050;No;law;Czech Republic;CZE;Economy-wide;Economy Wide;
base_year_target;Pursue the indicative level of 39 Mt CO2-eq of emissions in 2050;No;2050;2005;No;law;Czech Republic;CZE;Economy-wide;Economy Wide;
base_year_target;32 MtCO2e emission reduction by 2020, then 44 MtCO2e by 2020, 2030  against a 2005 baseline;No;2030;2005;No;law;Czech Republic;CZE;Economy-wide;Economy Wide;
base_year_target;Reduce national emissions by 2030 by at least 44 Mt CO2-eq in by 2030 against a 2005 baseline;No;2030;2005;No;law;Czech Republic;CZE;Economy-wide;Economy Wide;
base_year_target;21% GHG reduction in EU ETS and limit GHG increase to 9% outside EU ETS by 2020 against a 2005 baseline;No;2020;2005;No;law;Czech Republic;CZE;Economy-wide;Economy Wide;
base_year_target;Reduce national emissions by 2020 by at least 32 Mt CO2-eq in comparison with 2005  by 2020;No;2020;2005;No;law;Czech Republic;CZE;Economy-wide;Economy Wide;
base_year_target;The European Union and its 28 Member States submitted a joint NDC: at least 40% domestic reduction in GHG emissions by 2030 compared to 1990;No;2030;1990;No;ndc;Czech Republic;CZE;Economy-wide;Economy Wide;
baseline_scenario_target;17% reduction in GHG emissions by 2030 compared to the BAU scenario (430 MtCO2e), equivalent to slightly more than 70 MtCO2e reduction;No;2030;business as usual scenario;No;ndc;Democratic Republic of Congo;COD;Economy-wide;Economy Wide;
;Plant about 3 million ha of forest by 2025;No;2025;;No;ndc;Democratic Republic of Congo;COD;LULUCF;LULUCF/Forestry: General;
base_year_target;10% biofuel in transport sector fuel mixture by 2020;No;2020;2020;No;law;Denmark;DNK;Transportation;Biofuels;
fixed_level_target;1,000 MW increase wind turbines, 500 MW coastal wind by 2020 against a 2012 baseline;No;2020;2012;No;law;Denmark;DNK;Energy;Renewable Energy;
base_year_target;10.7PJ annual increase in energy saved by energy companies, then 12.2 PJ by 2014, 2015-2020 against a 2013 baseline;No;2020;2013;No;law;Denmark;DNK;Energy;Energy Efficiency;
base_year_target;39% GHG emissions reduction from non-EU ETS sectors by 2030 against a 2005 baseline;No;2030;2005;No;law;Denmark;DNK;Economy-wide;Economy Wide;
base_year_target;20% GHG emissions reduction from non-EU ETS sectors and 21% from EU ETS sectors by 2020 against a 2005 baseline;No;2020;2005;No;law;Denmark;DNK;Economy-wide;Economy Wide;
base_year_target;The European Union and its 28 Member States submitted a joint NDC: at least 40% domestic reduction in GHG emissions by 2030 compared to 1990;No;2030;1990;No;ndc;Denmark;DNK;Economy-wide;Economy Wide;
fixed_level_target;Going from 100% thermal to 100% renewable energy supply by 2020 against a 2010 baseline;No;2020;2010;No;law;Djibouti;DJI;Energy;Renewable Energy;
baseline_scenario_target;40% (unconditional) to additional 20% (conditional) reduction in GHG emissions by 2030 compared to the referece scenario, equivalent to 1.8 MtCO2e (unconditional) to an additional 0.9 MtCO2e (conditional) reduction in 2030;No;2030;N/A;No;ndc;Djibouti;DJI;Economy-wide;Economy Wide;
;1st phase capacity of 22,500 m3 daily, easily expandable to 45,000m3 in the 2nd phase fueled by renewable  energy;No;;;No;ndc;Djibouti;DJI;Water;Water Quality;
;1000 ha reforestation;No;;;No;ndc;Djibouti;DJI;LULUCF;Reforestation;
;10 MW electricity using household waste;No;;;No;ndc;Djibouti;DJI;Energy;Renewable Energy: Waste-to-Energy;
;Three (250MW) solar power plants by 2025;No;2025;;No;ndc;Djibouti;DJI;Energy;Renewable Energy: Solar: Utility Scale;
;1200 MW (potential) geothermal pump by 2030;No;2030;;No;ndc;Djibouti;DJI;Energy;Renewable Energy: Geothermal;
;Replacement of 1,000 units wood cooking systems by systems that use LPG;No;;;No;ndc;Djibouti;DJI;Energy;Clean Cooking And Heating: Cleaner Household Fuels;
;Rehabilitation of 3,000 existing buildings each year to improve insulation;No;;;No;ndc;Djibouti;DJI;Buildings;Buildings;
;Elimination of the import of 10,000 old cars producing too much pollution;No;;;No;ndc;Djibouti;DJI;Transportation;Vehicle Fleet;
;90 MW onshore wind turbines in Goubet by 2025;;;;;;;;;;
;5 MW energy production using tidal turbines in Goubet;No;;;No;ndc;Djibouti;DJI;Energy;Renewable Energy: Ocean;
;1000 ha agroforestry system;No;;;No;ndc;Djibouti;DJI;Agriculture;Climate Smart Agriculture;
;Distribution of 5 million low energy light bulbs;;;;;;;;;;
base_year_target;17.9% by 2020, 39.2% by 2025 and 44.7% by 2030 reduction in GHG emissions compared to 2014 (164.5 Ggs est.);No;2016;2014;No;ndc;Dominica;DMA;Economy-wide;Economy Wide;
;-8.1% emission in commercial/institutional, residential, agriculture, forestry, fishing;No;;;No;ndc;Dominica;DMA;LULUCF;LULUCF/Forestry: General;
;-8.1% emission  in commercial/institutional, residential, agriculture, forestry, fishing;No;;;No;ndc;Dominica;DMA;Agriculture;Agriculture: General;
;-8.8% emission in the construction (a sub-sector of Building) and manufacturing sector;No;;;No;ndc;Dominica;DMA;Buildings;Buildings;
;-78.6% emission in the sector;No;;;No;ndc;Dominica;DMA;Waste;Solid Waste;
;-16.9% emission in the sector;No;;;No;ndc;Dominica;DMA;Transportation;Transport: General;
;-98.6% emission in the sector;No;;;No;ndc;Dominica;DMA;Energy;Energy: General;
fixed_level_target;Car fuels to contain 10% of biofuel by 2008;No;2008;N/A;No;law;Dominican Republic;DOM;Transportation;Biofuels;
fixed_level_target;10% of electricity produced from renewable sources by 2015, and 25% of electricity produced from renewable sources by 2025;No;2025;N/A;No;law;Dominican Republic;DOM;Energy;Renewable Energy;
trajectory_target;Deforestation rates per year are reversed to -0.2% (recovery) by 2030 against a 2005 baseline;No;2030;2005;No;law;Dominican Republic;DOM;LULUCF;Afforestation;
intensity_target;Reach 3.4 metric tonnes per capita of CO2 by 2015, 3.2 metric tonnes by 2020, 3 metric tonnes by 2025 and 2.8 metric tonnes by 2030;No;2030;2010;No;law;Dominican Republic;DOM;Economy-wide;Economy Wide;
base_year_target;Raise effective use of distributed water in irrigation to 45% of distributed volume by 2030;No;2030;2010;No;law;Dominican Republic;DOM;Water;Water Management;
base_year_target;25% reduction in GHG emissions by 2030 compared to 2010;No;2030;2010;No;ndc;Dominican Republic;DOM;Economy-wide;Economy Wide;
fixed_level_target;Diesel fuel to contain up to 5% of biodiesel by 2013, and to reach 10% later on;No;2013;N/A;No;law;Ecuador;ECU;Transportation;Biofuels;
fixed_level_target;More than 50% of electricity coming from hydroelectric plant or other renewable sources by 2013;No;2013;2009;No;law;Ecuador;ECU;Energy;Renewable Energy;
fixed_level_target;6% of electricity will come from non-conventional renewable energy under obligation;No;0;N/A;No;law;Ecuador;ECU;Energy;Renewable Energy;
fixed_level_target;20,000 hectares of native vegetation are reforested or restores for carbon storage purposes by 2013 against a 2009 baseline;No;2013;2009;No;law;Ecuador;ECU;LULUCF;Afforestation;
